Timestamp,Artifact,Type
1601282663,A1,Patch Update
1593688759,A1,Patch Update
1630926086,A1,Patch Update
1634200306,A1,Patch Update
1631523390,A1,Patch Update
1632724942,A1,Patch Update
1637585133,A1,Patch Update
1636376737,A1,Patch Update
1636975203,A1,Patch Update
1638174428,A1,Patch Update
1636968392,A1,Patch Update
1638870806,A1,Patch Update
1590485764,A1,Patch Update
1582643587,A1,Patch Update
1688376040,A1,Patch Update
1686730984,A1,Patch Update
1696249484,A1,Patch Update
1692022152,A1,Patch Update
1640092754,A1,Patch Update
1639040078,A1,Patch Update
1638258649,A1,Patch Update
1656071484,A2,Patch Update
1713287323,A2,Patch Update
1718003907,A2,Patch Update
1724054214,A2,Patch Update
1717479406,A2,Patch Update
1706882368,A2,Patch Update
1708591823,A2,Patch Update
1715149232,A2,Patch Update
1724058672,A2,Patch Update
1709544716,A2,Patch Update
1706514990,A2,Patch Update
1721285961,A2,Patch Update
1711318912,A2,Patch Update
1700751164,A2,Patch Update
1718887561,A2,Patch Update
1709626371,A2,Patch Update
1702648069,A2,Patch Update
1698141875,A2,Patch Update
1655382617,A2,Patch Update
1704721038,A2,Patch Update
1650482351,A2,Patch Update
1663138895,A2,Patch Update
1702582529,A2,Patch Update
1665057785,A2,Patch Update
1658920291,A2,Patch Update
1701237067,A2,Patch Update
1659091897,A2,Patch Update
1670940129,A2,Patch Update
1673539913,A2,Patch Update
1676879340,A2,Patch Update
1676959795,A2,Patch Update
1667308205,A2,Patch Update
1667851473,A2,Patch Update
1677143320,A2,Patch Update
1677697320,A2,Patch Update
1680174389,A2,Patch Update
1687934053,A2,Patch Update
1682504342,A2,Patch Update
1681891290,A2,Patch Update
1689086700,A2,Patch Update
1689673726,A2,Patch Update
1694540214,A2,Patch Update
1694429169,A2,Patch Update
1614583444,A2,Patch Update
1613461190,A2,Patch Update
1610983797,A2,Patch Update
1608286349,A2,Patch Update
1608128482,A2,Patch Update
1621932412,A2,Patch Update
1620300865,A2,Patch Update
1624003492,A2,Patch Update
1639732650,A2,Patch Update
1639143017,A2,Patch Update
1628254517,A2,Patch Update
1627643172,A2,Patch Update
1629446988,A2,Patch Update
1643101957,A2,Patch Update
1640012358,A2,Patch Update
1639755206,A2,Patch Update
1648021833,A2,Patch Update
1644607324,A2,Patch Update
1670423503,A3,Patch Update
1717793951,A3,Patch Update
1713449267,A3,Patch Update
1714732581,A3,Patch Update
1722940979,A3,Patch Update
1722861125,A3,Patch Update
1709207289,A3,Patch Update
1707727599,A3,Patch Update
1712593210,A3,Patch Update
1711964690,A3,Patch Update
1696932117,A3,Patch Update
1697110401,A3,Patch Update
1699454128,A3,Patch Update
1698834588,A3,Patch Update
1697189924,A3,Patch Update
1705916944,A3,Patch Update
1704974326,A3,Patch Update
1698841926,A3,Patch Update
1701679416,A3,Patch Update
1671026269,A3,Patch Update
1657269034,A3,Patch Update
1656921562,A3,Patch Update
1663236429,A3,Patch Update
1659011021,A3,Patch Update
1661961189,A3,Patch Update
1659101602,A3,Patch Update
1667821906,A3,Patch Update
1665686482,A3,Patch Update
1671632407,A3,Patch Update
1673297293,A3,Patch Update
1673355722,A3,Patch Update
1676041255,A3,Patch Update
1675113039,A3,Patch Update
1679309265,A3,Patch Update
1678105653,A3,Patch Update
1679916915,A3,Patch Update
1680255916,A3,Patch Update
1681285839,A3,Patch Update
1688378546,A3,Patch Update
1689279682,A3,Patch Update
1691395712,A3,Patch Update
1691395510,A3,Patch Update
1683018686,A3,Patch Update
1684930072,A3,Patch Update
1684924725,A3,Patch Update
1685689994,A3,Patch Update
1687291742,A3,Patch Update
1687779262,A3,Patch Update
1681816856,A3,Patch Update
1691666163,A3,Patch Update
1691743959,A3,Patch Update
1693813420,A3,Patch Update
1693815370,A3,Patch Update
1694087814,A3,Patch Update
1695982644,A3,Patch Update
1659096908,A3,Patch Update
1655800549,A3,Patch Update
1651484692,A3,Patch Update
1650458008,A3,Patch Update
1657263739,A3,Patch Update
1651489326,A3,Patch Update
1654676076,A3,Patch Update
1654763951,A3,Patch Update
1654679903,A3,Patch Update
1654857655,A3,Patch Update
1649420650,A3,Patch Update
1649662768,A3,Patch Update
1649795455,A3,Patch Update
1677594437,A4,Patch Update
1706611214,A4,Patch Update
1705691285,A4,Patch Update
1684164026,A4,Patch Update
1643981958,A4,Patch Update
1684162377,A4,Patch Update
1683877631,A4,Patch Update
1643792563,A4,Patch Update
1682355834,A4,Patch Update
1642081323,A4,Patch Update
1671698302,A4,Patch Update
1681915043,A4,Patch Update
1681203463,A4,Patch Update
1641890586,A4,Patch Update
1641391508,A4,Patch Update
1670431008,A4,Patch Update
1680252073,A4,Patch Update
1641483505,A4,Patch Update
1680186002,A4,Patch Update
1639050225,A4,Patch Update
1639154105,A4,Patch Update
1639648431,A4,Patch Update
1669282018,A4,Patch Update
1669025879,A4,Patch Update
1637745146,A4,Patch Update
1669660135,A4,Patch Update
1667472559,A4,Patch Update
1636399736,A4,Patch Update
1666867021,A4,Patch Update
1668006260,A4,Patch Update
1666861684,A4,Patch Update
1664524176,A4,Patch Update
1679402690,A4,Patch Update
1664190277,A4,Patch Update
1664281201,A4,Patch Update
1664351449,A4,Patch Update
1663246964,A4,Patch Update
1678876388,A4,Patch Update
1662649345,A4,Patch Update
1676395861,A4,Patch Update
1648729767,A4,Patch Update
1648829187,A4,Patch Update
1676317647,A4,Patch Update
1649273476,A4,Patch Update
1649924898,A4,Patch Update
1684942780,A4,Patch Update
1685029126,A4,Patch Update
1685096200,A4,Patch Update
1673014229,A4,Patch Update
1673277690,A4,Patch Update
1673456699,A4,Patch Update
1673259708,A4,Patch Update
1650488571,A4,Patch Update
1652165820,A4,Patch Update
1650975538,A4,Patch Update
1685968842,A4,Patch Update
1674036549,A4,Patch Update
1673867122,A4,Patch Update
1673598215,A4,Patch Update
1673879497,A4,Patch Update
1656399673,A4,Patch Update
1655194504,A4,Patch Update
1655145591,A4,Patch Update
1655809303,A4,Patch Update
